TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;51;165;107.00;2001;1
Census Block;51;165;107.00;2023;1
Census Block;51;165;107.00;2024;1
Census Block;51;165;107.00;2025;1
Census Block;51;165;107.00;2026;1
Census Block;51;165;107.00;2027;1
Census Block;51;165;107.00;2028;1
Census Block;51;165;107.00;2029;1
Census Block;51;165;107.00;2030;1
Census Block;51;165;107.00;2031;1
Census Block;51;165;107.00;2032;1
Census Block;51;165;107.00;2033;1
Census Block;51;165;107.00;2034;1
Census Block;51;165;107.00;2035;1
Census Block;51;165;107.00;2036;1
Census Block;51;165;107.00;2037;1
Census Block;51;165;107.00;2038;1
Census Block;51;165;107.00;2039;1
Census Block;51;165;107.00;2040;1
Census Block;51;165;107.00;2041;1
Census Block;51;165;107.00;2042;1
Census Block;51;165;107.00;2043;1
Census Block;51;165;107.00;2044;1
Census Block;51;165;107.00;2045;1
Census Block;51;165;107.00;2046;1
Census Block;51;165;107.00;2047;1
Census Block;51;165;107.00;2048;1
Census Block;51;165;107.00;2049;1
Census Block;51;165;107.00;2050;1
Census Block;51;165;107.00;2057;1
Census Block;51;165;107.00;2096;1
Census Block;51;165;107.00;2097;1
Census Block;51;165;107.00;2099;1
Census Block;51;165;108.00;2061;1
Census Block;51;165;108.00;2062;1
Census Block;51;165;108.00;2066;1
Census Block;51;165;108.00;2067;1
Census Block;51;165;108.00;2068;1
Census Block;51;165;108.00;2070;1
Census Block;51;165;108.00;2071;1
Census Block;51;165;108.00;2072;1
Census Block;51;165;108.00;2073;1
Census Block;51;165;108.00;2074;1
Census Block;51;165;108.00;2075;1
Census Block;51;165;108.00;2076;1
Census Block;51;165;108.00;2077;1
Census Block;51;165;108.00;2078;1
Census Block;51;165;108.00;2079;1
Census Block;51;165;108.00;2080;1
Census Block;51;165;108.00;2081;1
Census Block;51;165;108.00;2082;1
Census Block;51;165;108.00;2083;1
Census Block;51;165;108.00;2084;1
Census Block;51;165;108.00;2085;1
Census Block;51;165;108.00;2086;1
Census Block;51;165;108.00;2087;1
Census Block;51;165;108.00;2088;1
Census Block;51;165;108.00;2089;1
Census Block;51;165;108.00;2090;1
Census Block;51;165;108.00;2091;1
Census Block;51;165;108.00;2092;1
Census Block;51;165;108.00;2101;1
Census Block;51;165;108.00;2102;1
Census Block;51;165;108.00;2121;1
Census Block;51;165;108.00;3001;1
Census Block;51;165;108.00;3002;1
Census Block;51;165;108.00;3003;1
Census Block;51;165;108.00;3004;1
Census Block;51;165;108.00;3005;1
Census Block;51;165;108.00;3006;1
Census Block;51;165;108.00;3007;1
Census Block;51;165;108.00;3008;1
Census Block;51;165;108.00;3009;1
Census Block;51;165;108.00;3010;1
Census Block;51;165;108.00;3011;1
Census Block;51;165;108.00;3012;1
Census Block;51;165;108.00;3013;1
Census Block;51;165;108.00;3014;1
Census Block;51;165;108.00;3015;1
Census Block;51;165;108.00;3016;1
Census Block;51;165;108.00;3017;1
Census Block;51;165;108.00;3020;1
Census Block;51;165;108.00;3021;1
Census Block;51;165;108.00;3022;1
Census Block;51;165;108.00;3023;1
Census Block;51;165;108.00;3024;1
Census Block;51;165;108.00;3025;1
Census Block;51;165;108.00;3036;1
Census Block;51;165;108.00;3037;1
Census Block;51;165;108.00;3038;1
Census Block;51;165;108.00;3039;1
Census Block;51;165;108.00;3040;1
Census Block;51;165;108.00;3041;1
Census Block;51;165;108.00;3051;1
Census Block;51;165;108.00;3052;1
Census Block;51;165;108.00;3053;1
Census Block;51;165;108.00;3054;1
Census Block;51;165;108.00;3064;1
Census Block;51;165;108.00;3065;1
