TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;51;089;107.00;1000;2
Census Block;51;089;107.00;1001;2
Census Block;51;089;107.00;1002;2
Census Block;51;089;107.00;1003;2
Census Block;51;089;107.00;1004;2
Census Block;51;089;107.00;1005;2
Census Block;51;089;107.00;1006;2
Census Block;51;089;107.00;1007;2
Census Block;51;089;107.00;1008;2
Census Block;51;089;107.00;1009;2
Census Block;51;089;107.00;1010;2
Census Block;51;089;107.00;1011;2
Census Block;51;089;107.00;1012;2
Census Block;51;089;107.00;1013;2
Census Block;51;089;107.00;1014;2
Census Block;51;089;107.00;1015;2
Census Block;51;089;107.00;1016;1,2
Census Block;51;089;107.00;1017;2
Census Block;51;089;107.00;1018;2
Census Block;51;089;107.00;1019;2
Census Block;51;089;107.00;1020;2
Census Block;51;089;107.00;1021;2
Census Block;51;089;107.00;1022;1,2
Census Block;51;089;107.00;1023;2
Census Block;51;089;107.00;1024;1,2
Census Block;51;089;107.00;1025;1
Census Block;51;089;107.00;1026;1
Census Block;51;089;107.00;1027;2
Census Block;51;089;107.00;1028;2
Census Block;51;089;107.00;1029;1
Census Block;51;089;107.00;1030;1
Census Block;51;089;107.00;1031;2
Census Block;51;089;107.00;1032;1,2
Census Block;51;089;107.00;1033;1
Census Block;51;089;107.00;1034;1
Census Block;51;089;107.00;1035;1
Census Block;51;089;107.00;1036;1
Census Block;51;089;107.00;1037;1,3
Census Block;51;089;107.00;1038;1
Census Block;51;089;107.00;1039;1
Census Block;51;089;107.00;1040;1
Census Block;51;089;107.00;1041;1
Census Block;51;089;107.00;1042;1
Census Block;51;089;107.00;1043;1
Census Block;51;089;107.00;1044;1
Census Block;51;089;107.00;1045;1
Census Block;51;089;107.00;1046;1
Census Block;51;089;107.00;1047;1
Census Block;51;089;107.00;1048;1
Census Block;51;089;107.00;1049;1
Census Block;51;089;107.00;1050;1
Census Block;51;089;107.00;1051;1
Census Block;51;089;107.00;1052;1
Census Block;51;089;107.00;1053;1
Census Block;51;089;107.00;1054;1
Census Block;51;089;107.00;1055;1
Census Block;51;089;107.00;1056;1,2
Census Block;51;089;107.00;1057;1,2
Census Block;51;089;107.00;1058;1
Census Block;51;089;107.00;1059;1
Census Block;51;089;108.00;2105;2
Census Block;51;089;108.00;2106;2
Census Block;51;089;108.00;2107;2
Census Block;51;089;108.00;2108;2
Census Block;51;089;108.00;2109;2
Census Block;51;089;108.00;2115;2
Census Block;51;089;108.00;2116;2
Census Block;51;089;108.00;3016;2
Census Block;51;089;108.00;3017;2
Census Block;51;089;108.00;3018;2
Census Block;51;089;108.00;3020;2
Census Block;51;089;108.00;3021;2
Census Block;51;089;108.00;3022;2
Census Block;51;089;108.00;3023;2
Census Block;51;089;108.00;3024;2
Census Block;51;089;108.00;3025;2
Census Block;51;089;108.00;3026;2
Census Block;51;089;108.00;3027;2
Census Block;51;089;108.00;3028;2
Census Block;51;089;108.00;3029;2
Census Block;51;089;108.00;3030;2
Census Block;51;089;108.00;3031;2
Census Block;51;089;108.00;3032;2
Census Block;51;089;108.00;3033;2
Census Block;51;089;108.00;3034;2
Census Block;51;089;108.00;3038;2
Census Block;51;089;108.00;3039;2
Census Block;51;089;108.00;3040;2
Census Block;51;089;108.00;3042;2
Census Block;51;089;108.00;3043;2
Census Block;51;089;108.00;3044;1,2
Census Block;51;089;108.00;3045;2
Census Block;51;089;108.00;3046;2
Census Block;51;089;108.00;3047;2
Census Block;51;089;108.00;3048;2
Census Block;51;089;108.00;3049;2
Census Block;51;089;108.00;3050;2
Census Block;51;089;108.00;3051;2
Census Block;51;089;108.00;3052;2
Census Block;51;089;108.00;3053;2
Census Block;51;089;108.00;3054;2
Census Block;51;089;108.00;3055;2
Census Block;51;089;108.00;3056;2
Census Block;51;089;108.00;3057;2
Census Block;51;089;109.00;1057;1
Census Block;51;089;109.00;1058;1
Census Block;51;089;109.00;1060;1
Census Block;51;089;109.00;1061;1
Census Block;51;089;109.00;1062;1
Census Block;51;089;109.00;1063;1
Census Block;51;089;109.00;1064;1
Census Block;51;089;109.00;1065;1
Census Block;51;089;109.00;1066;1
Census Block;51;089;109.00;1067;1
Census Block;51;089;109.00;1073;1
Census Block;51;089;109.00;1074;1
Census Block;51;089;109.00;1075;1
Census Block;51;089;109.00;1076;1
Census Block;51;089;109.00;1080;1
Census Block;51;089;109.00;1081;1,2
Census Block;51;089;109.00;1083;1
Census Block;51;089;109.00;1084;1
Census Block;51;089;109.00;1085;1
Census Block;51;089;109.00;1086;1
Census Block;51;089;109.00;1087;1
Census Block;51;089;109.00;1088;1,2
Census Block;51;089;109.00;1089;1
Census Block;51;089;109.00;1090;1
Census Block;51;089;109.00;1091;1,2
Census Block;51;089;109.00;1092;1,2
Census Block;51;089;109.00;1093;1
Census Block;51;089;109.00;1094;1
Census Block;51;089;109.00;1095;1
Census Block;51;089;109.00;1096;1
Census Block;51;089;109.00;1097;1
Census Block;51;089;109.00;1098;1
Census Block;51;089;109.00;1099;1
Census Block;51;089;109.00;1100;1
Census Block;51;089;109.00;1101;1
Census Block;51;089;109.00;1102;1
Census Block;51;089;109.00;1103;1
Census Block;51;089;109.00;1104;1
Census Block;51;089;109.00;1105;1
Census Block;51;089;109.00;1109;1
Census Block;51;089;109.00;1110;1
Census Block;51;089;109.00;1122;1
