TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;51;177;204.08;1013;1
Census Block;51;177;204.08;1014;1
Census Block;51;177;204.08;1015;1
Census Block;51;177;204.08;1016;1
Census Block;51;177;204.08;1017;1
Census Block;51;177;204.08;1019;1
Census Block;51;177;204.08;1020;1
Census Block;51;177;204.08;1021;1
Census Block;51;177;204.08;1022;1
Census Block;51;177;204.08;1023;1
Census Block;51;177;204.08;1024;1
Census Block;51;177;204.08;1025;1
Census Block;51;177;204.08;1026;1
Census Block;51;177;204.08;1027;1
Census Block;51;177;204.08;1028;1
Census Block;51;177;204.08;1029;1
Census Block;51;177;204.08;1030;1
Census Block;51;177;204.08;1031;1
Census Block;51;177;204.08;1032;1
Census Block;51;177;204.08;1033;1
Census Block;51;177;204.08;1034;1
Census Block;51;177;204.08;1035;1
Census Block;51;177;204.08;1036;1
Census Block;51;177;204.08;1037;1
Census Block;51;177;204.08;1038;1
Census Block;51;177;204.08;1039;1
Census Block;51;177;204.08;1040;1
Census Block;51;177;204.08;1041;1
Census Block;51;177;204.08;1042;1
Census Block;51;177;204.08;1043;1
Census Block;51;177;204.08;1044;1
Census Block;51;177;204.08;1045;1
Census Block;51;177;204.08;1046;1
Census Block;51;177;204.08;1047;1
Census Block;51;177;204.08;1048;1
Census Block;51;177;204.08;1049;1
Census Block;51;177;204.08;1050;1
Census Block;51;177;204.08;1051;1
Census Block;51;177;204.08;1052;1
Census Block;51;177;204.08;1053;1
Census Block;51;177;204.08;1054;1
Census Block;51;177;204.08;1055;1
Census Block;51;177;204.08;1056;1
Census Block;51;177;204.08;1057;1
Census Block;51;177;204.08;1058;1
Census Block;51;177;204.08;1059;1
Census Block;51;177;204.08;1060;1
Census Block;51;177;204.08;1061;1
Census Block;51;177;204.08;1062;1
Census Block;51;177;204.08;1063;1
Census Block;51;177;204.08;1064;1
Census Block;51;177;204.08;1065;1
Census Block;51;177;204.08;1066;1
Census Block;51;177;204.08;1067;1
Census Block;51;177;204.08;1068;1
