TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;51;059;4222.01;1000;1
Census Block;51;059;4222.01;1001;1
Census Block;51;059;4222.01;1002;1
Census Block;51;059;4222.01;1003;1
Census Block;51;059;4222.01;1004;1
Census Block;51;059;4222.01;1005;1
Census Block;51;059;4222.01;1006;1
Census Block;51;059;4222.01;1007;1
Census Block;51;059;4222.01;1008;1
Census Block;51;059;4222.01;1009;1
Census Block;51;059;4222.01;1010;1
Census Block;51;059;4222.01;1011;1
Census Block;51;059;4222.01;1012;1
Census Block;51;059;4222.01;1013;1
Census Block;51;059;4222.01;1014;1
Census Block;51;059;4222.01;1015;1
Census Block;51;059;4222.01;1016;1
Census Block;51;059;4222.01;1017;1
Census Block;51;059;4222.01;1018;1
Census Block;51;059;4222.01;1019;1
Census Block;51;059;4222.01;1020;1
Census Block;51;059;4222.01;1021;1
Census Block;51;059;4222.01;1022;1
Census Block;51;059;4222.01;1023;1
Census Block;51;059;4222.01;1024;1
Census Block;51;059;4222.01;1025;1
Census Block;51;059;4222.01;1026;1
Census Block;51;059;4222.01;1027;1
Census Block;51;059;4222.01;1028;1
Census Block;51;059;4222.01;1029;1
Census Block;51;059;4222.01;1030;1
Census Block;51;059;4222.01;2000;1
Census Block;51;059;4222.01;2001;1
Census Block;51;059;4222.01;2002;1
Census Block;51;059;4222.01;2003;1
Census Block;51;059;4222.01;2004;1
Census Block;51;059;4222.01;2005;1
Census Block;51;059;4222.01;2006;1
Census Block;51;059;4222.01;2007;1
Census Block;51;059;4222.01;2008;1
Census Block;51;059;4222.01;2009;1
Census Block;51;059;4222.01;2010;1
Census Block;51;059;4222.01;2011;1
Census Block;51;059;4222.01;2013;1
Census Block;51;059;4222.01;2014;1
Census Block;51;059;4222.01;2015;1
Census Block;51;059;4222.01;2016;1
Census Block;51;059;4222.01;2017;1
Census Block;51;059;4222.01;2018;1
Census Block;51;059;4222.01;2019;1
Census Block;51;059;4222.02;1000;1
Census Block;51;059;4222.02;1001;1
Census Block;51;059;4222.02;1002;1
Census Block;51;059;4222.02;1003;1
Census Block;51;059;4222.02;1004;1
Census Block;51;059;4222.02;1005;1
Census Block;51;059;4222.02;1006;1
Census Block;51;059;4222.02;2009;1
Census Block;51;059;4222.02;2014;1
Census Block;51;059;4222.02;2026;1
Census Block;51;059;4222.02;2027;1
Census Block;51;059;4222.02;2028;1
Census Block;51;059;4222.02;2029;1
Census Block;51;059;4222.02;2030;1
Census Block;51;059;4222.02;2031;1
Census Block;51;059;4222.02;2032;1
Census Block;51;059;4222.02;2033;1
Census Block;51;059;4222.02;2034;1
Census Block;51;059;4222.02;2035;1
Census Block;51;059;4222.02;2036;1
Census Block;51;059;4222.02;2037;1
Census Block;51;059;4222.02;2038;1
Census Block;51;059;4222.02;2039;1
Census Block;51;059;4222.02;2040;1
Census Block;51;059;4222.02;2041;1
Census Block;51;059;4222.02;2042;1
Census Block;51;059;4222.02;2043;1
Census Block;51;059;4222.02;2044;1
Census Block;51;059;4222.02;2045;1
Census Block;51;059;4222.02;2046;1
Census Block;51;059;4222.02;2047;1
Census Block;51;059;4222.02;2048;1
Census Block;51;059;4222.02;2049;1
Census Block;51;059;4222.02;2050;1
Census Block;51;059;4222.02;2051;1
Census Block;51;059;4222.02;2052;1
Census Block;51;059;4222.02;2053;1
Census Block;51;059;4222.02;2054;1
Census Block;51;059;4222.02;2055;1
Census Block;51;059;4222.02;2056;1
Census Block;51;059;4222.02;2057;1
Census Block;51;059;4222.02;2058;1
Census Block;51;059;4222.02;2059;1
Census Block;51;059;4222.02;2060;1
Census Block;51;059;4222.02;2061;1
Census Block;51;059;4222.02;2062;1
Census Block;51;059;4222.02;2063;1
Census Block;51;059;4222.02;2064;1
Census Block;51;059;4222.02;2066;1
Census Block;51;059;4222.02;2067;1
Census Block;51;059;4222.02;2068;1
Census Block;51;059;4222.02;2070;1
Census Block;51;059;4222.02;2071;1
Census Block;51;059;4222.02;2072;1
Census Block;51;059;4222.02;2073;1
Census Block;51;059;4222.02;2077;1
Census Block;51;059;4222.02;3000;1
Census Block;51;059;4222.02;3001;1
Census Block;51;059;4222.02;3002;1
Census Block;51;059;4222.02;3003;1
Census Block;51;059;4222.02;3004;1
Census Block;51;059;4222.02;3005;1
Census Block;51;059;4222.02;3006;1
Census Block;51;059;4222.02;3007;1
Census Block;51;059;4222.02;3008;1
Census Block;51;059;4222.02;3009;1
Census Block;51;059;4222.02;3010;1
Census Block;51;059;4222.02;3011;1
Census Block;51;059;4222.02;3012;1
Census Block;51;059;4222.02;3013;1
Census Block;51;059;4222.02;3014;1
Census Block;51;059;4222.02;3015;1
Census Block;51;059;4922.01;2017;1
Census Block;51;059;4922.01;2018;1
Census Block;51;059;4922.03;3011;1
Census Block;51;059;4922.03;3012;1
Census Block;51;059;4922.03;3013;1
Census Block;51;059;4922.03;3014;1
Census Block;51;059;4922.03;3015;1
Census Block;51;059;4922.03;3016;1
Census Block;51;059;4922.03;3017;1
