TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;51;025;9302.01;1054;1
Census Block;51;025;9302.01;1078;1
Census Block;51;025;9302.01;1079;1
Census Block;51;025;9302.01;1080;1
Census Block;51;025;9302.01;1092;1
Census Block;51;025;9302.01;1093;1
Census Block;51;025;9302.01;1094;1
Census Block;51;025;9302.01;1095;1
Census Block;51;025;9302.01;1096;1
Census Block;51;025;9302.01;1117;1
Census Block;51;025;9302.03;1073;1
Census Block;51;025;9302.03;1074;1
Census Block;51;025;9302.03;1075;1
Census Block;51;025;9302.03;1076;1
Census Block;51;025;9302.03;1077;1
Census Block;51;025;9302.03;1078;1
Census Block;51;025;9302.03;1079;1
Census Block;51;025;9302.03;1080;1
Census Block;51;025;9302.03;1081;1
Census Block;51;025;9302.03;1082;1
Census Block;51;025;9302.03;1083;1
Census Block;51;025;9302.03;1084;1
Census Block;51;025;9302.03;1085;1
Census Block;51;025;9302.03;1086;1
Census Block;51;025;9302.03;1087;1
Census Block;51;025;9302.03;1088;1
Census Block;51;025;9302.03;1090;1
Census Block;51;025;9302.03;1092;1
Census Block;51;025;9302.03;1093;1
Census Block;51;025;9302.03;1094;1
Census Block;51;025;9302.03;1095;1
Census Block;51;025;9302.03;1096;1
Census Block;51;025;9302.03;1097;1
Census Block;51;025;9302.03;1098;1
Census Block;51;025;9302.03;1099;1
Census Block;51;025;9302.03;1100;1
Census Block;51;025;9302.03;1101;1
Census Block;51;025;9302.03;1102;1
Census Block;51;025;9302.03;1103;1
Census Block;51;025;9302.03;1104;1
Census Block;51;025;9302.03;1105;1
Census Block;51;025;9302.03;1106;1
Census Block;51;025;9302.03;1107;1
Census Block;51;025;9302.03;1108;1
Census Block;51;025;9302.03;1109;1
Census Block;51;025;9302.03;1110;1
Census Block;51;025;9302.03;1111;1
Census Block;51;025;9302.03;1112;1
Census Block;51;025;9302.03;1113;1
Census Block;51;025;9302.03;1114;1
Census Block;51;025;9302.03;1115;1
Census Block;51;025;9302.03;1116;1
Census Block;51;025;9302.03;1117;1
Census Block;51;025;9302.03;1118;1
Census Block;51;025;9302.03;1119;1
Census Block;51;025;9302.03;1120;1
Census Block;51;025;9302.03;1121;1
Census Block;51;025;9302.03;1122;1
Census Block;51;025;9302.03;1123;1
Census Block;51;025;9302.03;1124;1
Census Block;51;025;9302.03;1125;1
Census Block;51;025;9302.03;1126;1
Census Block;51;025;9302.03;1127;1
Census Block;51;025;9302.03;1136;1
Census Block;51;025;9302.03;1137;1
Census Block;51;025;9302.03;1141;1
Census Block;51;025;9302.03;1142;1
Census Block;51;025;9302.03;1143;1
Census Block;51;025;9302.03;1144;1
Census Block;51;025;9302.03;1146;1
Census Block;51;025;9302.03;1147;1
Census Block;51;025;9302.03;1148;1
Census Block;51;025;9302.03;1149;1
Census Block;51;025;9302.03;1153;1
Census Block;51;025;9302.03;1154;1
Census Block;51;025;9302.03;1155;1
Census Block;51;025;9302.03;1156;1
Census Block;51;025;9302.03;1157;1
Census Block;51;025;9302.03;1158;1
Census Block;51;025;9302.03;1159;1
Census Block;51;025;9302.03;1160;1
Census Block;51;025;9302.03;1161;1
Census Block;51;025;9302.03;1162;1
Census Block;51;025;9302.03;1163;1
Census Block;51;025;9302.03;1170;1
Census Block;51;025;9302.03;1171;1
Census Block;51;025;9302.03;1177;1
Census Block;51;025;9302.03;1178;1
Census Block;51;025;9302.03;1179;1
Census Block;51;025;9302.03;1180;1
Census Block;51;025;9302.03;1181;1
Census Block;51;025;9302.03;1182;1
Census Block;51;025;9302.03;1183;1
Census Block;51;025;9302.03;1184;1
Census Block;51;025;9302.03;1185;1
Census Block;51;025;9302.03;1186;1
Census Block;51;025;9302.03;1187;1
Census Block;51;025;9302.03;1193;1
Census Block;51;025;9302.03;1194;1
Census Block;51;025;9302.03;2012;1
Census Block;51;025;9302.03;2013;1
Census Block;51;025;9302.03;2033;1
Census Block;51;025;9302.03;2034;1
