TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;51;067;201.01;3016;1
Census Block;51;067;201.02;2006;1
Census Block;51;067;201.02;2007;1
Census Block;51;067;201.02;2008;1
Census Block;51;067;201.02;2009;1
Census Block;51;067;201.02;2010;1
Census Block;51;067;201.02;2011;1
Census Block;51;067;201.02;2012;1
Census Block;51;067;201.02;2013;1
Census Block;51;067;201.02;2014;1
Census Block;51;067;201.02;2087;1
Census Block;51;067;201.02;2088;1
Census Block;51;067;201.02;2089;1
Census Block;51;067;201.02;2090;1
Census Block;51;067;201.02;2091;1
Census Block;51;067;201.02;2092;1
Census Block;51;067;201.02;2093;1
Census Block;51;067;201.02;2094;1
Census Block;51;067;201.02;2095;1
Census Block;51;067;201.02;2096;1
Census Block;51;067;201.02;2097;1
Census Block;51;067;201.02;2098;1
Census Block;51;067;201.02;2099;1
Census Block;51;067;201.02;2100;1
Census Block;51;067;201.02;2101;1
Census Block;51;067;201.02;2102;1
Census Block;51;067;201.02;2103;1
Census Block;51;067;201.02;2104;1
Census Block;51;067;201.02;2105;1
Census Block;51;067;201.02;2106;1
Census Block;51;067;201.02;2107;1,2
Census Block;51;067;201.02;2108;2
Census Block;51;067;201.02;2109;2
Census Block;51;067;201.02;2110;2
Census Block;51;067;201.02;2111;1,2
Census Block;51;067;201.02;2112;2
Census Block;51;067;201.02;2113;2
Census Block;51;067;201.02;2114;2
Census Block;51;067;201.02;2115;1,2
Census Block;51;067;201.02;2116;2
Census Block;51;067;201.02;2117;1
Census Block;51;067;201.02;2118;1
Census Block;51;067;201.02;2119;1
Census Block;51;067;201.02;2120;2
Census Block;51;067;201.02;2121;1,2
Census Block;51;067;201.02;2122;1,2
Census Block;51;067;201.02;2123;1
Census Block;51;067;201.02;2124;1
Census Block;51;067;201.02;2125;2
Census Block;51;067;201.02;2126;1
Census Block;51;067;201.02;2127;1
Census Block;51;067;201.02;2128;1
Census Block;51;067;201.02;2129;1
Census Block;51;067;201.02;2130;1
Census Block;51;067;201.02;2131;1
Census Block;51;067;201.02;2132;1
Census Block;51;067;201.02;2133;1
Census Block;51;067;201.02;2134;1
Census Block;51;067;201.02;2135;1
Census Block;51;067;201.02;2136;1
Census Block;51;067;201.02;2137;1
Census Block;51;067;201.02;2138;1
Census Block;51;067;201.02;2139;1
Census Block;51;067;201.02;2140;1
Census Block;51;067;201.02;2141;2
Census Block;51;067;201.02;2142;2
Census Block;51;067;201.02;2143;2
Census Block;51;067;201.02;2144;1
Census Block;51;067;201.02;2145;1
Census Block;51;067;201.02;2146;1
Census Block;51;067;201.02;2147;1
Census Block;51;067;201.02;2148;1
Census Block;51;067;201.02;2149;1
Census Block;51;067;201.02;2150;1
Census Block;51;067;201.02;2151;1
Census Block;51;067;201.02;2152;1
Census Block;51;067;201.02;2153;1
Census Block;51;067;201.02;2154;1
Census Block;51;067;201.02;2155;2
Census Block;51;067;201.02;2157;1,2
Census Block;51;067;201.02;2158;1
Census Block;51;067;201.02;2159;1
Census Block;51;067;201.02;2160;1
Census Block;51;067;201.02;2161;1
Census Block;51;067;201.02;2162;1
Census Block;51;067;201.02;2166;1
Census Block;51;067;201.02;2177;1
Census Block;51;067;209.00;1000;2
Census Block;51;067;209.00;1001;2
Census Block;51;067;209.00;1002;2
Census Block;51;067;209.00;1003;2
Census Block;51;067;209.00;1004;2
Census Block;51;067;209.00;1005;2
Census Block;51;067;209.00;1006;2
Census Block;51;067;209.00;1052;2
Census Block;51;067;209.00;1065;2
Census Block;51;067;209.00;1067;2
Census Block;51;067;209.00;1068;2
Census Block;51;067;209.00;1069;2
Census Block;51;067;209.00;1070;2
Census Block;51;067;209.00;1071;2
Census Block;51;067;209.00;1072;2
Census Block;51;067;209.00;1076;2
Census Block;51;067;209.00;1077;2
Census Block;51;067;209.00;1078;2
Census Block;51;067;209.00;1079;2
Census Block;51;067;209.00;1080;2
Census Block;51;067;209.00;1196;2
Census Block;51;067;209.00;1197;2
Census Block;51;067;209.00;1198;2
Census Block;51;067;209.00;1199;2
