TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;51;003;104.02;2000;1
Census Block;51;003;104.02;2001;1
Census Block;51;003;104.02;2002;1
Census Block;51;003;104.02;2003;1
Census Block;51;003;104.02;2004;1
Census Block;51;003;104.02;2005;1
Census Block;51;003;104.02;2006;1
Census Block;51;003;104.02;2007;1
Census Block;51;003;104.02;2008;1
Census Block;51;003;104.02;2009;1
Census Block;51;003;104.02;2010;1
Census Block;51;003;104.02;2024;1
Census Block;51;003;104.02;2026;1
Census Block;51;003;104.02;2029;1
Census Block;51;003;104.02;2032;1
Census Block;51;003;104.02;2033;1
Census Block;51;003;104.02;2041;1
Census Block;51;003;104.02;2042;1
Census Block;51;003;104.02;2043;1
Census Block;51;003;104.02;2044;1
Census Block;51;003;104.02;2045;1
Census Block;51;003;104.02;2046;1
