TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;51;041;1002.08;1000;1
Census Block;51;041;1002.08;1001;1
Census Block;51;041;1002.08;1002;1
Census Block;51;041;1002.08;1003;1
Census Block;51;041;1002.08;1004;1
Census Block;51;041;1002.08;1005;1
Census Block;51;041;1002.08;1006;1
Census Block;51;041;1002.08;1007;1
Census Block;51;041;1002.08;1008;1
Census Block;51;041;1002.08;1009;1
Census Block;51;041;1002.08;1010;1
Census Block;51;041;1002.08;1011;1
Census Block;51;041;1002.08;1012;1
Census Block;51;041;1002.08;1013;1
Census Block;51;041;1002.08;1014;1
Census Block;51;041;1002.08;1015;1
Census Block;51;041;1002.08;1016;1
Census Block;51;041;1002.08;1017;1
Census Block;51;041;1002.08;1018;1
Census Block;51;041;1002.08;1019;1
Census Block;51;041;1002.08;1020;1
Census Block;51;041;1002.08;1021;1
Census Block;51;041;1002.08;1022;1
Census Block;51;041;1002.08;1023;1
Census Block;51;041;1002.08;1024;1
Census Block;51;041;1002.08;1025;1
Census Block;51;041;1002.08;1026;1
Census Block;51;041;1002.08;1027;1
Census Block;51;041;1002.08;1028;1
Census Block;51;041;1002.08;1029;1
Census Block;51;041;1002.08;2000;1
Census Block;51;041;1002.08;2001;1
Census Block;51;041;1002.08;2002;1
Census Block;51;041;1002.08;2003;1
Census Block;51;041;1002.08;2004;1
Census Block;51;041;1002.08;2005;1
Census Block;51;041;1002.08;2006;1
Census Block;51;041;1002.08;2007;1
Census Block;51;041;1002.08;2008;1
Census Block;51;041;1002.08;2009;1
Census Block;51;041;1002.08;2010;1
Census Block;51;041;1002.08;2011;1
Census Block;51;041;1002.08;2012;1
Census Block;51;041;1002.08;2013;1
Census Block;51;041;1002.08;2014;1
Census Block;51;041;1002.08;2015;1
Census Block;51;041;1002.08;2016;1
Census Block;51;041;1002.08;2017;1
Census Block;51;041;1002.08;2018;1
Census Block;51;041;1002.08;2019;1
Census Block;51;041;1002.08;2020;1
Census Block;51;041;1002.08;2021;1
Census Block;51;041;1002.08;2022;1
Census Block;51;041;1002.08;2023;1
Census Block;51;041;1002.08;2024;1
Census Block;51;041;1002.08;2025;1
Census Block;51;041;1002.08;2026;1
Census Block;51;041;1002.08;2027;1
Census Block;51;041;1002.08;2028;1
Census Block;51;041;1002.08;2029;1
Census Block;51;041;1002.09;4000;1
Census Block;51;041;1002.09;4001;1
Census Block;51;041;1002.09;4002;1
Census Block;51;041;1002.09;4003;1
Census Block;51;041;1002.09;4004;1
Census Block;51;041;1002.09;4005;1
Census Block;51;041;1002.09;4006;1
Census Block;51;041;1002.09;4007;1
Census Block;51;041;1002.09;4008;1
