TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;51;093;2801.01;2025;1,2
Census Block;51;093;2801.01;2027;2
Census Block;51;093;2801.01;2032;1,2
Census Block;51;093;2801.01;2043;1
Census Block;51;093;2801.01;2044;1,2
Census Block;51;093;2801.01;2045;1
Census Block;51;093;2801.01;2046;2
Census Block;51;093;2801.01;2047;1
Census Block;51;093;2801.01;2048;1
Census Block;51;093;2801.01;2049;1,2
Census Block;51;093;2801.01;2050;1
Census Block;51;093;2801.01;2051;1
Census Block;51;093;2801.01;2052;2
Census Block;51;093;2801.01;2053;2
Census Block;51;093;2801.01;2054;2
Census Block;51;093;2801.01;2055;2
Census Block;51;093;2801.01;2083;2
Census Block;51;093;2801.01;2084;1,2
Census Block;51;093;2801.01;2094;2
Census Block;51;093;2801.01;2095;1,2
Census Block;51;093;2801.01;2096;2
Census Block;51;093;2801.01;2097;1,2
Census Block;51;093;2801.01;2098;1
Census Block;51;093;2801.04;1000;2
Census Block;51;093;2801.04;1001;2
Census Block;51;093;2801.04;1002;2
Census Block;51;093;2801.04;1003;2
Census Block;51;093;2801.04;1004;2
Census Block;51;093;2801.04;1005;2
Census Block;51;093;2801.04;1006;2
Census Block;51;093;2801.04;1007;2
Census Block;51;093;2801.04;1008;2
Census Block;51;093;2801.04;1009;2
Census Block;51;093;2801.04;1010;2
Census Block;51;093;2801.04;1011;2
Census Block;51;093;2801.04;1012;2
Census Block;51;093;2801.04;1013;2
Census Block;51;093;2801.04;1014;2
Census Block;51;093;2801.04;1015;2
Census Block;51;093;2801.04;1016;2
Census Block;51;093;2801.04;1017;2
Census Block;51;093;2801.04;1018;2
Census Block;51;093;2801.04;1019;2
Census Block;51;093;2801.04;1020;2
Census Block;51;093;2801.04;1021;2
Census Block;51;093;2801.04;1022;2
Census Block;51;093;2801.04;2000;2
Census Block;51;093;2801.04;2001;2
Census Block;51;093;2801.04;2002;2
Census Block;51;093;2801.04;2003;2
Census Block;51;093;2801.04;2004;2
Census Block;51;093;2801.04;2005;2
Census Block;51;093;2801.04;2006;2
Census Block;51;093;2801.04;2007;2
Census Block;51;093;2801.04;2008;2
Census Block;51;093;2801.04;2009;2
Census Block;51;093;2801.04;2010;2
Census Block;51;093;2801.04;3029;2
Census Block;51;093;2801.04;3031;2
Census Block;51;093;2801.04;3032;2
Census Block;51;093;2801.04;3033;2
Census Block;51;093;2801.04;3034;2
Census Block;51;093;2801.05;1000;1,2,3
Census Block;51;093;2801.05;1001;1,2,3
Census Block;51;093;2801.05;1002;2
Census Block;51;093;2801.05;1004;1
Census Block;51;093;2801.05;1005;1
Census Block;51;093;2801.05;1006;1
Census Block;51;093;2801.05;1007;2
Census Block;51;093;2801.05;1008;1,2
Census Block;51;093;2801.05;1009;1,2
Census Block;51;093;2801.05;1010;3
Census Block;51;093;2801.05;1011;2
Census Block;51;093;2801.05;1012;2
Census Block;51;093;2801.05;1013;1
Census Block;51;093;2801.05;1014;1
Census Block;51;093;2801.05;1015;1
Census Block;51;093;2801.05;1016;1
Census Block;51;093;2801.05;1017;1,2
Census Block;51;093;2801.05;1018;1
Census Block;51;093;2801.05;1019;1
Census Block;51;093;2801.05;1020;1,2
Census Block;51;093;2801.05;1021;2,3
Census Block;51;093;2801.05;1022;2,3
Census Block;51;093;2801.05;1023;2,3
Census Block;51;093;2801.05;1024;2
Census Block;51;093;2801.05;1025;2
Census Block;51;093;2801.05;1027;1
Census Block;51;093;2801.05;1030;1
Census Block;51;093;2801.05;1032;1
Census Block;51;093;2801.05;1035;3
Census Block;51;093;2801.05;1037;3
Census Block;51;093;2801.05;1039;3
Census Block;51;093;2801.05;1040;3
Census Block;51;093;2801.05;1041;3
Census Block;51;093;2801.05;1042;3
Census Block;51;093;2801.05;1043;3
Census Block;51;093;2801.05;1044;3
Census Block;51;093;2801.05;1045;3
Census Block;51;093;2801.05;1067;3
Census Block;51;093;2801.05;2000;2
Census Block;51;093;2801.05;2001;2
Census Block;51;093;2801.05;2002;2
Census Block;51;093;2801.05;2003;2
Census Block;51;093;2801.05;2004;2
Census Block;51;093;2801.05;2005;2
Census Block;51;093;2801.05;2006;2
Census Block;51;093;2801.05;2007;2
Census Block;51;093;2801.05;2008;2
Census Block;51;093;2801.05;2009;2
Census Block;51;093;2801.05;2010;2
Census Block;51;093;2801.05;2011;2
Census Block;51;093;2801.05;2012;1,2
Census Block;51;093;2801.05;2013;1,2
Census Block;51;093;2801.05;2014;1,2
Census Block;51;093;2801.05;2015;1
Census Block;51;093;2801.05;2016;2
Census Block;51;093;2801.05;2017;2
Census Block;51;093;2801.05;2018;2
Census Block;51;093;2801.05;2019;2
Census Block;51;093;2801.05;2020;2
Census Block;51;093;2801.05;2021;2
Census Block;51;093;2801.05;3000;2
Census Block;51;093;2801.05;3001;1,2
Census Block;51;093;2801.05;3002;1,2
Census Block;51;093;2801.05;3003;1
Census Block;51;093;2801.05;3004;1
Census Block;51;093;2801.05;3005;1,2
Census Block;51;093;2801.05;3006;1
Census Block;51;093;2801.05;3007;1
Census Block;51;093;2801.05;3008;2
Census Block;51;093;2801.05;3009;1,2
Census Block;51;093;2801.05;3010;2
Census Block;51;093;2801.05;3011;1,2
Census Block;51;093;2801.05;3012;1
Census Block;51;093;2801.05;3013;1
Census Block;51;093;2801.05;3014;1,2
Census Block;51;093;2801.05;3015;1,2
Census Block;51;093;2801.05;3016;2
Census Block;51;093;2801.05;3017;1,2
Census Block;51;093;2801.05;3018;1
Census Block;51;093;2801.05;3019;1
Census Block;51;093;2801.05;3020;1
Census Block;51;093;2801.05;3021;1
Census Block;51;093;2801.05;3022;1
Census Block;51;093;2801.05;3023;1
Census Block;51;093;2801.05;3024;1
Census Block;51;093;2801.05;3025;1
Census Block;51;093;2801.05;3026;1
Census Block;51;093;2801.05;3029;1
Census Block;51;093;2801.05;3030;1
Census Block;51;093;2801.05;3031;1
Census Block;51;093;2801.05;3032;1
Census Block;51;093;2801.05;3033;1
Census Block;51;093;2801.05;3034;1
Census Block;51;093;2801.05;3035;1
Census Block;51;093;2801.05;3036;1
Census Block;51;093;2801.05;3037;1
