TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;51;083;9304.00;4036;1
Census Block;51;083;9304.00;4048;1
Census Block;51;083;9304.00;4053;1
Census Block;51;083;9304.00;4081;1
Census Block;51;083;9304.00;4082;1
Census Block;51;083;9304.00;4083;1
Census Block;51;083;9304.00;4084;1
Census Block;51;083;9304.00;4085;1
Census Block;51;083;9304.00;4086;1
Census Block;51;083;9304.00;4087;1
Census Block;51;083;9304.00;4088;1
Census Block;51;083;9304.00;4089;1
Census Block;51;083;9304.00;4090;1
Census Block;51;083;9304.00;4091;1
Census Block;51;083;9304.00;4092;1
Census Block;51;083;9304.00;4093;1
Census Block;51;083;9304.00;4110;1
Census Block;51;083;9304.00;4111;1
Census Block;51;083;9304.00;4112;1
Census Block;51;083;9304.00;4113;1
Census Block;51;083;9304.00;4114;1
Census Block;51;083;9304.00;4115;1
Census Block;51;083;9304.00;4116;1
Census Block;51;083;9304.00;4117;1
Census Block;51;083;9304.00;4118;1
Census Block;51;083;9304.00;4119;1
