TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;51;810;400.00;1000;3
Census Block;51;810;400.00;1001;3
Census Block;51;810;400.00;1002;3
Census Block;51;810;400.00;1003;3,8
Census Block;51;810;400.00;1004;3,8
Census Block;51;810;400.00;1005;3,8
Census Block;51;810;400.00;1006;8
Census Block;51;810;400.00;1007;3,8
Census Block;51;810;400.00;1008;8
Census Block;51;810;400.00;1009;8
Census Block;51;810;400.00;1010;3,8
Census Block;51;810;400.00;1011;3,8
Census Block;51;810;400.00;1012;8
Census Block;51;810;400.00;1013;8
Census Block;51;810;400.00;1014;8
Census Block;51;810;400.00;1015;3,8
Census Block;51;810;400.00;1016;8
Census Block;51;810;400.00;1017;8
Census Block;51;810;400.00;1018;8
Census Block;51;810;400.00;1019;8
Census Block;51;810;400.00;1020;8
Census Block;51;810;400.00;1021;8
Census Block;51;810;400.00;1022;8
Census Block;51;810;400.00;1023;8
Census Block;51;810;400.00;1024;8
Census Block;51;810;400.00;1025;8
Census Block;51;810;400.00;1026;8
Census Block;51;810;400.00;1027;8
Census Block;51;810;400.00;1028;3,8
Census Block;51;810;400.00;1029;3,8
Census Block;51;810;400.00;1030;3
Census Block;51;810;400.00;1031;3,8
Census Block;51;810;400.00;1032;8
Census Block;51;810;400.00;1033;8
Census Block;51;810;400.00;1034;8
Census Block;51;810;400.00;2000;2,3
Census Block;51;810;400.00;2001;2,7
Census Block;51;810;400.00;2002;2
Census Block;51;810;400.00;2003;7
Census Block;51;810;400.00;2004;7
Census Block;51;810;400.00;2005;7
Census Block;51;810;400.00;2006;7
Census Block;51;810;400.00;2007;2,7
Census Block;51;810;400.00;2008;2
Census Block;51;810;400.00;2009;2
Census Block;51;810;400.00;2010;2,7
Census Block;51;810;400.00;2011;7
Census Block;51;810;400.00;2012;7
Census Block;51;810;400.00;2013;7
Census Block;51;810;400.00;2014;7
Census Block;51;810;400.00;2015;7
Census Block;51;810;400.00;2016;7
Census Block;51;810;400.00;2017;7
Census Block;51;810;400.00;2018;7
Census Block;51;810;400.00;2019;7
Census Block;51;810;400.00;2020;7
Census Block;51;810;400.00;2021;7,8
Census Block;51;810;400.00;2022;3,7,8
Census Block;51;810;400.00;2023;3,8
Census Block;51;810;400.00;2024;2,3,7,8
Census Block;51;810;400.00;2025;8
Census Block;51;810;400.00;2026;8
Census Block;51;810;400.00;2027;8
Census Block;51;810;400.00;2028;8
Census Block;51;810;400.00;2029;8
Census Block;51;810;400.00;2030;8
Census Block;51;810;400.00;2031;8
Census Block;51;810;400.00;2032;8
Census Block;51;810;400.00;2033;8
Census Block;51;810;400.00;2034;8
Census Block;51;810;400.00;2035;8
Census Block;51;810;400.00;2036;8
Census Block;51;810;400.00;2037;8
Census Block;51;810;400.00;2038;8
Census Block;51;810;400.00;2039;8
Census Block;51;810;400.00;2040;8
Census Block;51;810;400.00;2041;8
Census Block;51;810;400.00;2042;8
Census Block;51;810;400.00;2043;8
Census Block;51;810;400.00;2044;8
Census Block;51;810;400.00;2045;8
Census Block;51;810;400.00;2046;8
Census Block;51;810;400.00;2047;8
Census Block;51;810;400.00;2048;8
Census Block;51;810;400.00;2049;8
Census Block;51;810;400.00;2050;8
Census Block;51;810;400.00;2051;8
Census Block;51;810;400.00;2052;8
Census Block;51;810;400.00;2053;7,8
Census Block;51;810;400.00;2054;8
Census Block;51;810;400.00;2055;7,8
Census Block;51;810;400.00;2056;8
Census Block;51;810;400.00;2057;8
Census Block;51;810;400.00;2058;7,8
Census Block;51;810;400.00;2059;7,8
Census Block;51;810;400.00;2060;8
Census Block;51;810;400.00;2061;8
Census Block;51;810;400.00;2062;8
Census Block;51;810;400.00;2063;8
Census Block;51;810;400.00;2064;8
Census Block;51;810;400.00;2065;8
Census Block;51;810;400.00;2066;8
Census Block;51;810;400.00;2067;7
Census Block;51;810;400.00;2068;7
Census Block;51;810;400.00;2069;8
Census Block;51;810;402.00;1000;7
Census Block;51;810;402.00;1001;7
Census Block;51;810;402.00;1002;7
Census Block;51;810;402.00;1003;7
Census Block;51;810;402.00;1004;7
Census Block;51;810;402.00;1005;7
Census Block;51;810;402.00;1006;7
Census Block;51;810;402.00;1007;7
Census Block;51;810;402.00;1008;7
Census Block;51;810;402.00;1009;7
Census Block;51;810;402.00;1010;7
Census Block;51;810;402.00;1011;7
Census Block;51;810;402.00;1012;7
Census Block;51;810;402.00;1013;7
Census Block;51;810;402.00;1014;7
Census Block;51;810;402.00;1015;7
